Active Beam Capacity (v_max),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
3,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
4,0.10026388888888887,0.09999999999999999,0.0981111111111111,0.09849305555555554
5,0.10026388888888887,0.09999999999999999,0.09829166666666665,0.09882638888888888
6,0.10026388888888887,0.09999999999999999,0.09854166666666667,0.0990486111111111
7,0.10026388888888887,0.09999999999999999,0.09901388888888889,0.09926388888888887
8,0.10026388888888887,0.09999999999999999,0.09947916666666666,0.09943055555555554
9,0.10026388888888887,0.09999999999999999,0.09937499999999999,0.09949999999999999
10,0.10026388888888887,0.09999999999999999,0.09956944444444443,0.09959027777777776
11,0.10026388888888887,0.09999999999999999,0.0997986111111111,0.09974305555555554
12,0.10026388888888887,0.09999999999999999,0.09983333333333333,0.09985416666666665
13,0.10026388888888887,0.09999999999999999,0.09989583333333332,0.09993749999999998
14,0.10026388888888887,0.09999999999999999,0.10001388888888887,0.10001388888888887
15,0.10026388888888887,0.09999999999999999,0.10009722222222221,0.10000694444444444
