Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
-180,-1.0209727413080286e-05,-4.471742595241356e-07,0.0006471138125008547,0.0006923965246235363
-176,-1.3489250329812462e-05,-4.40537164273386e-06,0.0005304572235437785,0.0005679444903863188
-172,-1.8387909470472137e-05,-9.85234851725588e-06,0.0004128750387149705,0.00044234640038080396
-168,-2.650675248761292e-05,-1.8137386581736755e-05,0.00029587218468249014,0.00031743685781207825
-164,-3.9613731629673764e-05,-3.099192619650773e-05,0.00018405653797792603,0.00019713446274961615
-160,-5.728373373238483e-05,-4.8860179408362234e-05,8.52925831436524e-05,8.999642928535168e-05
-156,-7.51061611301477e-05,-6.829015860610869e-05,8.724306193249334e-06,6.900568416199513e-06
-152,-8.795359417833363e-05,-8.368577435244634e-05,-3.9853239231308414e-05,-4.5309628088618424e-05
-148,-9.48655001830019e-05,-9.269089741003376e-05,-6.506378347536126e-05,-7.202542894351657e-05
-144,-9.798111125134598e-05,-9.690624164436147e-05,-7.643626749324282e-05,-8.399179941110746e-05
-140,-9.928055233860846e-05,-9.868625455321727e-05,-8.121254407911986e-05,-8.9003658698886e-05
