Active Beam Capacity (v_max),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
3,0.0,0.0,0.5972222222222222,0.6833333333333333
4,0.0,0.0,0.6388888888888888,0.7250000000000001
5,0.0,0.0,0.6458333333333334,0.7250000000000001
6,0.0,0.0,0.6472222222222223,0.7458333333333333
7,0.0,0.0,0.6965277777777777,0.7805555555555556
8,0.0,0.0,0.7,0.8083333333333333
9,0.0,0.0,0.7215277777777778,0.8152777777777778
10,0.0,0.0,0.7562500000000001,0.8222222222222223
11,0.0,0.0,0.7631944444444445,0.8291666666666667
12,0.0,0.0,0.7840277777777778,0.8291666666666667
13,0.0,0.0,0.8256944444444445,0.8500000000000001
14,0.002777777777777778,0.0,0.8465277777777778,0.8500000000000001
15,0.008333333333333333,0.0,0.8673611111111111,0.8708333333333333
